IP,Detected,Suspicious,Engines_Detected,Country
198.98.57.49,7,1,N/A,US
198.98.58.108,6,1,N/A,US
198.98.58.2,5,1,N/A,US
198.98.60.89,0,1,N/A,US
198.98.62.58,5,1,N/A,US
199.19.75.51,1,0,N/A,US
199.195.251.20,4,1,N/A,US
199.34.21.86,2,0,N/A,US
2.192.226.26,1,1,N/A,IT
2.192.66.200,0,0,N/A,IT
2.47.46.34,4,0,N/A,IT
2.58.113.179,3,0,N/A,NL
20.25.0.130,6,1,N/A,US
201.163.31.145,6,1,N/A,MX
201.76.116.102,2,1,N/A,BR
201.76.120.13,1,0,N/A,BR
202.137.218.99,1,0,N/A,IN
202.29.224.26,5,1,N/A,TH
202.63.215.22,7,0,N/A,PK
203.130.20.54,8,1,N/A,PK
205.185.115.65,8,1,N/A,US
205.185.115.96,6,0,N/A,US
205.185.116.69,6,0,N/A,US
205.185.117.62,2,0,N/A,US
205.185.120.39,6,0,N/A,US
205.185.125.82,9,1,N/A,US
206.189.120.50,12,0,N/A,GB
206.189.83.122,0,0,N/A,SG
206.189.96.157,1,0,N/A,NL
208.138.25.30,3,1,N/A,JM
209.126.83.40,11,0,N/A,US
209.141.32.225,9,1,N/A,US
209.141.33.215,6,0,N/A,US
209.141.37.243,4,0,N/A,US
209.141.40.158,7,0,N/A,US
209.141.40.231,5,0,N/A,US
209.141.42.105,7,0,N/A,US
209.141.44.158,4,0,N/A,US
209.141.44.228,5,1,N/A,US
209.141.48.35,5,1,N/A,US
209.141.49.204,3,0,N/A,US
209.141.49.9,6,0,N/A,US
209.141.55.189,6,0,N/A,US
209.141.56.241,8,0,N/A,US
209.141.56.30,6,0,N/A,US
209.141.58.223,3,0,N/A,US
209.141.60.133,6,0,N/A,US
209.141.60.70,6,0,N/A,US
209.85.218.100,0,0,N/A,US
209.85.218.97,0,0,N/A,US
209.85.221.100,0,0,N/A,US
209.85.221.97,0,0,N/A,US
209.85.221.98,0,0,N/A,US
209.97.158.59,0,0,N/A,US
210.113.70.11,2,0,N/A,KR
210.113.70.126,1,0,N/A,KR
210.113.70.24,3,0,N/A,KR
210.113.70.26,2,0,N/A,KR
210.113.70.29,5,0,N/A,KR
210.113.70.36,3,0,N/A,KR
210.113.70.39,1,0,N/A,KR
210.113.70.55,4,0,N/A,KR
210.6.197.111,9,2,N/A,HK
211.134.1.249,2,2,N/A,JP
211.134.5.169,1,0,N/A,JP
211.154.253.74,6,0,N/A,CN
211.221.91.104,3,0,N/A,KR
211.221.91.121,2,0,N/A,KR
211.221.91.139,1,0,N/A,KR
211.221.91.14,4,0,N/A,KR
211.221.91.18,3,0,N/A,KR
211.221.91.189,4,0,N/A,KR
211.221.91.202,4,0,N/A,KR
211.221.91.207,1,0,N/A,KR
211.221.91.21,3,0,N/A,KR
211.221.91.228,1,0,N/A,KR
211.221.91.23,2,0,N/A,KR
211.221.91.243,1,0,N/A,KR
211.221.91.25,2,0,N/A,KR
