IP,Detected,Suspicious,Engines_Detected,Country
52.144.47.20,1,0,N/A,US
58.18.38.131,10,1,N/A,CN
58.56.206.166,13,1,N/A,CN
59.127.105.97,4,2,N/A,TW
59.135.113.23,1,1,N/A,JP
59.135.116.94,5,2,N/A,JP
59.174.93.36,1,0,N/A,CN
59.18.155.115,3,0,N/A,KR
59.18.155.12,3,0,N/A,KR
59.18.155.2,1,0,N/A,KR
59.18.155.40,5,0,N/A,KR
59.18.155.57,3,0,N/A,KR
59.18.155.60,3,0,N/A,KR
59.18.170.114,3,0,N/A,KR
59.18.170.161,3,0,N/A,KR
59.18.170.17,1,0,N/A,KR
59.36.1.60,1,0,N/A,CN
59.45.47.134,6,1,N/A,CN
59.49.19.46,12,1,N/A,CN
59.56.77.23,4,1,N/A,CN
59.88.40.230,0,0,N/A,IN
59.94.248.23,0,0,N/A,IN
59.94.249.138,0,0,N/A,IN
59.94.251.71,1,0,N/A,IN
59.96.113.109,0,0,N/A,IN
60.10.22.153,7,2,N/A,CN
60.161.138.28,6,3,N/A,CN
60.172.6.70,14,1,N/A,CN
60.2.120.26,7,2,N/A,CN
60.221.224.27,8,1,N/A,CN
60.221.238.51,8,2,N/A,CN
60.221.46.135,2,0,N/A,CN
60.221.46.159,2,0,N/A,CN
60.221.46.210,3,0,N/A,CN
60.221.46.242,0,1,N/A,CN
60.221.46.48,1,0,N/A,CN
60.221.46.64,1,0,N/A,CN
60.221.46.78,5,0,N/A,CN
60.221.46.81,3,0,N/A,CN
60.221.59.142,12,0,N/A,CN
60.221.60.66,11,0,N/A,CN
60.221.60.72,9,1,N/A,CN
60.221.60.82,7,0,N/A,CN
60.221.60.85,3,0,N/A,CN
60.221.61.247,7,2,N/A,CN
61.0.66.213,1,0,N/A,IN
61.145.181.78,10,1,N/A,CN
61.145.210.44,2,0,N/A,CN
61.167.92.215,1,0,N/A,CN
61.2.180.133,0,0,N/A,IN
61.2.194.190,0,0,N/A,IN
61.230.16.115,0,0,N/A,TW
61.76.247.106,2,0,N/A,KR
61.84.11.94,1,0,N/A,KR
62.150.75.147,11,2,N/A,KW
62.8.65.212,10,2,N/A,UG
62.8.77.198,1,1,N/A,KE
62.8.85.65,1,1,N/A,UG
64.20.41.98,6,0,N/A,US
64.20.63.153,4,0,N/A,US
64.227.32.150,2,0,N/A,GB
64.227.41.39,12,1,N/A,GB
64.227.5.83,0,0,N/A,US
65.110.212.16,1,0,N/A,CA
66.240.205.34,12,1,N/A,US
66.45.243.52,1,0,N/A,US
67.247.3.229,4,1,N/A,US
68.183.62.82,1,0,N/A,US
68.193.3.17,1,0,N/A,US
69.123.60.234,4,0,N/A,US
69.164.211.43,2,0,N/A,US
69.164.217.74,11,1,N/A,US
69.165.145.79,1,0,N/A,CA
70.53.226.25,1,0,N/A,CA
74.209.15.103,2,1,N/A,US
74.89.60.114,1,0,N/A,US
76.171.0.229,0,0,N/A,US
76.9.52.67,0,0,N/A,CA
77.105.237.43,7,0,N/A,SE
77.234.40.122,4,0,N/A,CZ
77.42.239.40,1,0,N/A,LB
77.81.139.39,2,1,N/A,IE
78.105.248.88,1,0,N/A,GB
78.138.0.147,1,0,N/A,US
78.142.18.220,14,0,N/A,BG
78.84.151.4,1,0,N/A,LV
78.84.228.47,0,0,N/A,LV
79.10.15.101,3,1,N/A,IT
79.37.82.82,0,0,N/A,IT
79.54.22.106,3,1,N/A,IT
8.142.64.10,3,1,N/A,CN
80.210.31.119,7,1,N/A,IR
80.82.78.39,10,3,N/A,NL
81.163.90.106,3,1,N/A,UA
81.243.29.168,0,0,N/A,BE
81.28.6.184,0,0,N/A,DE
83.229.3.75,0,0,N/A,US
83.229.69.37,0,0,N/A,GB
83.229.72.223,2,0,N/A,IL
83.229.72.240,1,0,N/A,IL
83.24.141.102,0,0,N/A,PL
84.54.50.61,11,1,N/A,US
85.130.138.30,5,1,N/A,IL
85.97.188.199,9,1,N/A,TR
86.107.31.40,3,1,N/A,RO
87.110.21.71,5,0,N/A,LV
87.21.33.218,1,0,N/A,IT
89.105.249.52,3,0,N/A,UA
89.248.165.52,16,0,N/A,NL
89.248.168.55,5,0,N/A,NL
89.32.241.148,2,1,N/A,NL
90.140.98.155,1,0,N/A,LT
90.182.0.218,8,2,N/A,CZ
91.149.48.143,2,1,N/A,NO
91.223.169.14,0,0,N/A,SE
91.226.72.183,0,0,N/A,IL
91.69.212.14,5,1,N/A,FR
92.12.216.40,1,0,N/A,GB
92.14.135.177,6,0,N/A,GB
92.9.7.216,1,0,N/A,GB
93.48.238.80,3,1,N/A,IT
93.75.132.128,4,0,N/A,UA
94.178.117.27,0,0,N/A,UA
94.23.207.108,0,0,N/A,FR
95.68.59.240,2,0,N/A,LV
98.113.148.88,4,0,N/A,US
99.43.235.161,5,0,N/A,US
99.49.100.219,11,2,N/A,US
159.203.224.27,9,2,N/A,US
